brand,model,transmission,make_year,reg_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
Tata,Tiago XZA PLUS PETROL,Automatic,2022,,Petrol,1199.0,16366,1st owner,686000,13414,True,Yes,MH47,2022 Tata Tiago XZA PLUS PETROL
Tata,Tiago XZ PLUS CNG,Manual,2022,1/2/2022,CNG,1199.0,22874,1st owner,684000,13367,True,No,HR98,2022 Tata Tiago XZ PLUS CNG
Tata,Tiago XZ PLUS CNG,Manual,2022,1/2/2022,CNG,1199.0,22213,1st owner,675000,13196,True,Yes,DL9C,2022 Tata Tiago XZ PLUS CNG
Tata,Tiago XT CNG,Manual,2022,1/6/2022,CNG,1199.0,19968,1st owner,626000,12238,True,No,HR98,2022 Tata Tiago XT CNG
Tata,Tiago XT CNG,Manual,2022,1/3/2022,CNG,1199.0,12693,1st owner,624000,12199,True,Yes,DL5C,2022 Tata Tiago XT CNG
Tata,Safari XZA PLUS DARK EDITION,Automatic,2022,,Diesel,1956.0,15681,1st owner,2173000,41359,True,No,KA51,2022 Tata Safari XZA PLUS DARK EDITION
Tata,Safari XZA PLUS ADVENTURE,Automatic,2022,,Diesel,1956.0,42408,1st owner,1922000,36583,True,Yes,MH12,2022 Tata Safari XZA PLUS ADVENTURE
Tata,Safari XZA,Automatic,2022,1/6/2022,Diesel,1956.0,44610,1st owner,1655000,31501,False,No,UP16,2022 Tata Safari XZA
Tata,Safari XZ PLUS DARK EDITION,Manual,2022,,Diesel,1956.0,12384,1st owner,1912000,36393,True,No,MH04,2022 Tata Safari XZ PLUS DARK EDITION
Tata,Safari XZ PLUS 6S ADVENTURE,Manual,2022,,Diesel,1956.0,39627,1st owner,1910000,36355,True,No,KA51,2022 Tata Safari XZ PLUS 6S ADVENTURE
Tata,Safari XMA,Automatic,2022,1/5/2022,Diesel,1956.0,20858,1st owner,1715000,32649,False,No,HR98,2022 Tata Safari XMA
Tata,PUNCH CREATIVE  MT,Manual,2022,,Petrol,1199.0,20447,2nd owner,744000,14545,False,No,KA13,2022 Tata PUNCH CREATIVE  MT
Tata,PUNCH CREATIVE  MT,Manual,2022,,Petrol,1199.0,43093,1st owner,796000,15556,True,No,TS07,2022 Tata PUNCH CREATIVE  MT
Tata,PUNCH CREATIVE  AMT,Automatic,2022,,Petrol,1199.0,45037,1st owner,882000,16782,True,No,KA04,2022 Tata PUNCH CREATIVE  AMT
Tata,PUNCH CREATIVE  AMT,Automatic,2022,,Petrol,1199.0,20082,1st owner,818000,15569,False,No,KA03,2022 Tata PUNCH CREATIVE  AMT
Tata,PUNCH CREATIVE  1.2 RTN DUAL TONE,Manual,2022,1/11/2022,Petrol,1199.0,450,1st owner,813000,15475,False,Yes,DL3C,2022 Tata PUNCH CREATIVE  1.2 RTN DUAL TONE
Tata,PUNCH CREATIVE  1.2 RTN DUAL TONE,Manual,2022,1/6/2022,Petrol,1199.0,20770,1st owner,778000,15210,True,No,HR42,2022 Tata PUNCH CREATIVE  1.2 RTN DUAL TONE
Tata,NEXON XZA PLUS PETROL,Automatic,2022,1/6/2022,Petrol,1199.0,13124,1st owner,967000,18406,False,No,UP14,2022 Tata NEXON XZA PLUS PETROL
Tata,NEXON XZA PLUS PETROL,Automatic,2022,,Petrol,1199.0,31940,1st owner,1006000,19148,False,No,KA03,2022 Tata NEXON XZA PLUS PETROL
Tata,NEXON XZA PLUS KAZIRANGA PETROL,Automatic,2022,,Petrol,,28971,1st owner,1170000,22270,True,No,KA51,2022 Tata NEXON XZA PLUS KAZIRANGA PETROL
